casent,new codes for PTs,species,CL,PoOC,CW,CWb,FRS,SL,EL,MW,PSTI,PEW,PPW,SPBA,SPTI,ML,PEL,NOL,MPST,PEH,NOH,PPH,SPST,PPL,dendroname,lat,long,,CS (µm),PoOC/CL,CL/CW,CL/CWb,FRS/CS,SL/CS,EL/CS,MW/CS,PSTI/CS,PEW/CS,PPW/CS,SPBA/CS,SPTI/CS,ML/CS,PEL/CS,NOL/CS,MPST/CS,PEH/CS,NOH/CS,PPH/CS,SPST/CS,PPL/CS
CASENT_0301183,,excelsior,795,360,680,630,210,570,175,430,430,180,255,190,190,990,390,265,300,212,125,190,180,185,excelsior-CASENT_0301183,-13.5888,48.72864,,712.5,0.452830189,1.169117647,1.261904762,0.294736842,0.8,0.245614035,0.603508772,0.603508772,0.252631579,0.357894737,0.266666667,0.266666667,1.389473684,0.547368421,0.371929825,0.421052632,0.29754386,0.175438596,0.266666667,0.252631579,0.259649123
CASENT_0301210,,excelsior,810,370,700,640,218,590,172,455,440,170,258,170,175,990,380,260,300,220,130,195,210,185,excelsior-CASENT_0301210,-13.5888,48.72864,,725,0.456790123,1.157142857,1.265625,0.300689655,0.813793103,0.237241379,0.627586207,0.606896552,0.234482759,0.355862069,0.234482759,0.24137931,1.365517241,0.524137931,0.35862069,0.413793103,0.303448276,0.179310345,0.268965517,0.289655172,0.255172414
CASENT_0301212,,excelsior,810,372,702,655,220,600,175,452,440,165,262,170,185,1010,405,272,300,208,122,198,200,182,excelsior-CASENT_0301212,-13.5888,48.72864,,732.5,0.459259259,1.153846154,1.236641221,0.300341297,0.819112628,0.23890785,0.617064846,0.600682594,0.225255973,0.357679181,0.232081911,0.252559727,1.37883959,0.552901024,0.371331058,0.409556314,0.283959044,0.166552901,0.270307167,0.273037543,0.248464164
CASENT_0301213,,excelsior,828,382,728,670,225,602,178,470,465,200,270,198,190,1040,415,285,310,225,135,202,220,190,excelsior-CASENT_0301213,-13.5888,48.72864,,749,0.461352657,1.137362637,1.235820896,0.300400534,0.803738318,0.2376502,0.627503338,0.62082777,0.267022697,0.360480641,0.26435247,0.253671562,1.388518024,0.554072096,0.380507343,0.41388518,0.300400534,0.18024032,0.269692924,0.293724967,0.253671562
CASENT_0303388,,excelsior,835,390,722,662,222,605,178,470,452,188,272,192,178,1035,410,280,315,220,130,202,182,198,excelsior-CASENT_0303388,-13.5888,48.72864,,748.5,0.467065868,1.156509695,1.261329305,0.296593186,0.808283233,0.237808951,0.627922512,0.603874415,0.251169005,0.363393454,0.256513026,0.237808951,1.382765531,0.547762191,0.374081496,0.420841683,0.293921176,0.173680695,0.269873079,0.243152973,0.264529058
CASENT_0304369,,excelsior,760,340,660,602,195,562,162,410,390,158,238,155,180,910,342,240,285,205,122,190,185,170,excelsior-CASENT_0304369,-13.5888,48.72864,,681,0.447368421,1.151515152,1.262458472,0.286343612,0.825256975,0.237885463,0.6020558,0.572687225,0.232011747,0.34948605,0.227606461,0.264317181,1.336270191,0.502202643,0.352422907,0.418502203,0.3010279,0.179148311,0.279001468,0.271659325,0.249632893
CASENT_0304482,,excelsior,750,340,658,595,200,560,160,420,405,158,242,152,175,930,350,242,285,200,122,188,200,178,excelsior-CASENT_0304482,-13.58487,48.71818,,672.5,0.453333333,1.139817629,1.260504202,0.29739777,0.832713755,0.237918216,0.624535316,0.602230483,0.234944238,0.359851301,0.226022305,0.260223048,1.382899628,0.520446097,0.359851301,0.423791822,0.29739777,0.181412639,0.279553903,0.29739777,0.264684015
CASENT_0353295,,excelsior,812,375,700,640,212,595,162,452,452,170,260,160,200,1005,390,272,317,210,125,202,225,190,excelsior-CASENT_0353295,-13.26388,49.60141,,726,0.46182266,1.16,1.26875,0.292011019,0.819559229,0.223140496,0.622589532,0.622589532,0.23415978,0.358126722,0.220385675,0.275482094,1.384297521,0.537190083,0.374655647,0.436639118,0.289256198,0.172176309,0.278236915,0.309917355,0.261707989
CASENT_0353305,,excelsior,890,418,760,708,228,652,180,500,492,198,298,192,245,1120,420,292,340,232,135,230,240,210,excelsior-CASENT_0353305,-13.26388,49.60141,,799,0.469662921,1.171052632,1.257062147,0.285356696,0.816020025,0.225281602,0.625782228,0.615769712,0.247809762,0.372966208,0.240300375,0.306633292,1.40175219,0.525657071,0.365456821,0.425531915,0.290362954,0.168961202,0.287859825,0.300375469,0.262828536
CASENT_0367529,,excelsior,828,385,712,662,220,600,170,480,470,180,280,175,220,1030,405,262,310,228,135,202,220,202,excelsior-CASENT_0367529,-13.64609,48.67732,,745,0.464975845,1.162921348,1.250755287,0.295302013,0.805369128,0.228187919,0.644295302,0.630872483,0.241610738,0.375838926,0.234899329,0.295302013,1.382550336,0.543624161,0.351677852,0.416107383,0.306040268,0.181208054,0.27114094,0.295302013,0.27114094
CASENT_0370676,,excelsior,785,360,680,620,205,572,160,445,435,165,262,160,170,980,380,258,300,210,130,200,200,182,excelsior-CASENT_0370676,-13.26206,49.60672,,702.5,0.458598726,1.154411765,1.266129032,0.291814947,0.814234875,0.227758007,0.633451957,0.619217082,0.234875445,0.372953737,0.227758007,0.241992883,1.395017794,0.540925267,0.367259786,0.427046263,0.298932384,0.185053381,0.284697509,0.284697509,0.259074733
CASENT_0370678,,excelsior,830,390,720,662,215,608,165,482,472,185,280,185,215,1030,400,280,310,230,135,220,235,195,excelsior-CASENT_0370678,-13.26206,49.60672,,746,0.469879518,1.152777778,1.253776435,0.288203753,0.815013405,0.221179625,0.646112601,0.632707775,0.247989276,0.375335121,0.247989276,0.288203753,1.380697051,0.536193029,0.375335121,0.415549598,0.308310992,0.180965147,0.294906166,0.315013405,0.261394102
